branch,geom,direction,k_swing,signal_bar,signal_time,entry_bar,entry_time,entry,sl,tp,r_usd,invalidation,exit_bar,exit_time,exit,reason,gross_r,cost_r,net_r,mae_r,mfe_r,hold_bars,w3_class,ratio31,fib_ok,ret2,ret4,d1_close,d1_ema200,h4_bear,rsi_h1,atr_m15,kind,wyckoff,wyckoff_ratio
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,69979,2024-11-08 00:00:00,69980,2024-11-08 00:15:00,2712.0,2696.871199276477,2727.128800723523,15.128800723523,2696.0,69984,2024-11-08 01:15:00,2696.871199276477,SL,-1.0,0.05287927408258613,-1.052879274082586,-1.1897836668581878,0.19829727780969797,5,C,2.1666666666666665,False,0.9166666666666666,0.5,2708.0,2411.564970560534,False,66.97379270431662,6.051520289409252,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,72054,2024-12-09 14:45:00,72055,2024-12-09 15:00:00,2657.0,2643.2805294961163,2670.7194705038837,13.719470503883713,2642.0,72078,2024-12-09 20:45:00,2643.2805294961163,SL,-1.0,0.058311288309088584,-1.0583112883090886,-1.312003986954493,0.07288911038636073,24,C,1.7142857142857142,False,0.6428571428571429,0.5833333333333334,2627.0,2452.6535632879772,True,69.15927691949491,5.487788201553481,IMPULSE_W5,True,
B01_LONG_CORE,G_BASE47,1,2.0,74626,2025-01-15 09:45:00,74627,2025-01-15 10:00:00,2697.0,2689.0439440168807,2704.9560559831193,7.956055983119313,2687.0,74630,2025-01-15 10:45:00,2689.0439440168807,SL,-1.0,0.10055233418384593,-1.100552334183846,-1.1312137595682665,0.0,4,B,1.35,True,0.6,0.2962962962962963,2674.0,2499.5407523435647,False,64.40425250339521,3.1824223932477063,IMPULSE_W5,False,
B03_LONG_W3A_HV,G_BASE47,1,2.0,75049,2025-01-21 19:30:00,75050,2025-01-21 19:45:00,2744.0,2734.195227866262,2753.804772133738,9.80477213373797,2730.0,75056,2025-01-21 21:15:00,2734.195227866262,SL,-1.0,0.08159292119061294,-1.081592921190613,-1.0199115148826616,0.0,7,A,0.696969696969697,True,0.3939393939393939,0.391304347826087,2701.0,2507.509195861727,False,69.19253716397363,3.921908853495098,IMPULSE_W5,False,
B01_LONG_CORE,G_BASE47,1,2.0,75692,2025-01-30 12:15:00,75693,2025-01-30 12:30:00,2775.0,2769.510788538034,2780.489211461966,5.489211461966079,2768.0,75696,2025-01-30 13:15:00,2769.510788538034,SL,-1.0,0.14574042292651318,-1.1457404229265131,-1.0930531719488488,0.9108776432907073,4,B,1.2352941176470589,True,0.5294117647058824,0.3333333333333333,2762.0,2524.094430937226,False,66.06973005356214,2.1956845847864157,IMPULSE_W5,False,
B01_LONG_CORE,G_BASE47,1,2.0,75705,2025-01-30 15:30:00,75706,2025-01-30 15:45:00,2783.0,2774.6588779844487,2791.3411220155513,8.341122015551264,2768.0,75707,2025-01-30 16:00:00,2791.3411220155513,TP,1.0,0.09591035816386247,0.9040896418361375,0.0,2.038095110982077,2,B,1.2352941176470589,True,0.5294117647058824,0.3333333333333333,2762.0,2524.094430937226,False,62.679522913682135,3.3364488062204667,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,76053,2025-02-05 06:30:00,76054,2025-02-05 06:45:00,2882.0,2868.5921381129547,2895.4078618870453,13.407861887045328,2868.0,76069,2025-02-05 10:30:00,2895.4078618870453,TP,1.0,0.05966648573349042,0.9403335142665096,-0.7458310716686303,1.1933297146698083,16,C,3.0,True,0.7333333333333333,0.4222222222222222,2854.0,2535.7563136222243,False,74.73600559483401,5.363144754818057,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,76072,2025-02-05 11:15:00,76073,2025-02-05 11:30:00,2899.0,2881.691335211781,2916.308664788219,17.308664788219176,2868.0,76104,2025-02-05 19:15:00,2881.691335211781,SL,-1.0,0.04621962524483722,-1.0462196252448372,-1.0399415680088373,0.9243925048967443,32,C,3.0,True,0.7333333333333333,0.4222222222222222,2854.0,2535.7563136222243,False,76.4393624213418,6.923465915287742,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,77887,2025-03-04 09:00:00,77888,2025-03-04 09:15:00,2916.0,2900.0253191177676,2931.9746808822324,15.974680882232406,2899.0,77905,2025-03-04 13:30:00,2931.9746808822324,TP,1.0,0.05007924764805711,0.9499207523519428,-0.06259905956007138,1.81537272724207,18,C,1.8333333333333333,True,0.7777777777777778,0.45454545454545453,2888.0,2602.5778131527386,False,69.81369828351289,6.38987235289293,IMPULSE_W5,True,
B01_LONG_CORE,G_BASE47,1,2.0,78602,2025-03-13 19:45:00,78603,2025-03-13 20:00:00,2997.0,2985.195574362951,3008.804425637049,11.804425637049007,2983.0,78633,2025-03-14 03:30:00,3008.804425637049,TP,1.0,0.06777119231359674,0.9322288076864033,-0.2541419711759878,1.0165678847039512,31,B,1.3448275862068966,True,0.5172413793103449,0.38461538461538464,2946.0,2624.4150289622035,False,76.62197255425134,4.721770254819567,IMPULSE_W5,False,
B01_LONG_CORE,G_BASE47,1,2.0,79601,2025-03-28 05:30:00,79602,2025-03-28 05:45:00,3082.0,3071.5473637205346,3092.4526362794654,10.452636279465423,3069.0,79608,2025-03-28 07:15:00,3071.5473637205346,SL,-1.0,0.07653571583387328,-1.0765357158338733,-1.626383961469807,0.6696875135463911,7,B,1.2272727272727273,True,0.6363636363636364,0.2962962962962963,3059.0,2667.0340159798975,False,67.38449839758658,4.181054511786091,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,80490,2025-04-10 11:45:00,80491,2025-04-10 12:00:00,3143.0,3128.773963888244,3157.226036111756,14.226036111756002,3123.0,80499,2025-04-10 14:00:00,3157.226036111756,TP,1.0,0.0562349198128987,0.9437650801871013,-0.42176189859674024,1.6167539446208377,9,C,1.8518518518518519,True,0.7407407407407407,0.46,3099.0,2703.7719426713566,False,66.47309436468493,5.690414444702344,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,80517,2025-04-10 18:30:00,80518,2025-04-10 18:45:00,3195.0,3172.644710097542,3217.355289902458,22.355289902458026,3168.0,80535,2025-04-10 23:00:00,3217.355289902458,TP,1.0,0.03578571351526235,0.9642142864847376,-0.31312499325854554,1.0735714054578704,18,C,2.1379310344827585,True,0.5172413793103449,0.5,3099.0,2703.7719426713566,False,75.71803716091854,8.942115960983127,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,80539,2025-04-11 00:00:00,80540,2025-04-11 00:15:00,3224.0,3206.554358142824,3241.445641857176,17.445641857175815,3168.0,80541,2025-04-11 00:30:00,3241.445641857176,TP,1.0,0.045856724937348214,0.9541432750626517,-0.22928362468674107,1.261059935777076,2,C,2.1379310344827585,True,0.5172413793103449,0.5,3216.0,2708.8687392616916,False,79.98796309205314,6.978256742870265,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,80545,2025-04-11 01:30:00,80546,2025-04-11 01:45:00,3248.0,3225.690031148401,3270.309968851599,22.309968851599024,3168.0,80561,2025-04-11 05:30:00,3225.690031148401,SL,-1.0,0.03585840954424558,-1.0358584095442456,-1.344690357909209,0.7171681908849116,16,C,2.1379310344827585,True,0.5172413793103449,0.5,3216.0,2708.8687392616916,False,82.68973707200048,8.923987540639539,IMPULSE_W5,True,
