branch,geom,direction,k_swing,signal_bar,signal_time,entry_bar,entry_time,entry,sl,tp,r_usd,invalidation,exit_bar,exit_time,exit,reason,gross_r,cost_r,net_r,mae_r,mfe_r,hold_bars,w3_class,ratio31,fib_ok,ret2,ret4,d1_close,d1_ema200,h4_bear,rsi_h1,atr_m15,kind
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,25609,2023-01-31 18:15:00,25610,2023-01-31 18:30:00,1903.0,1898.9122118645098,1909.1316822032354,4.0877881354902,1886.0,25618,2023-01-31 20:30:00,1898.9122118645098,SL,-1.0,0.12720815824219386,-1.1272081582421938,-2.446310735426805,0.7338932206280415,9,C,2.3333333333333335,False,0.8888888888888888,0.38095238095238093,1896.0,1787.8343222900241,False,55.714800813527546,4.0877881354902765,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,28301,2023-03-10 19:15:00,28302,2023-03-10 19:30:00,1858.0,1853.1250368869103,1865.3124446696347,4.874963113089734,1840.0,28302,2023-03-10 19:30:00,1853.1250368869103,SL,-1.0,0.1066674737709812,-1.1066674737709812,-1.2307785435113214,0.0,1,C,3.5833333333333335,False,0.8333333333333334,0.3488372093023256,1810.0,1798.7618085347642,False,73.84685867664562,4.874963113089748,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,28311,2023-03-10 21:45:00,28312,2023-03-10 22:00:00,1864.0,1859.126186844236,1871.3107197336462,4.873813155764083,1840.0,28312,2023-03-10 22:00:00,1859.126186844236,SL,-1.0,0.10669264154802792,-1.1066926415480278,-1.2310689409387836,0.4103563136462612,1,C,3.5833333333333335,False,0.8333333333333334,0.3488372093023256,1810.0,1798.7618085347642,False,76.76333378399269,4.873813155764184,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,28776,2023-03-17 18:00:00,28777,2023-03-17 18:15:00,1961.0,1952.112408122024,1974.3313878169643,8.887591877976092,1936.0,28778,2023-03-17 18:30:00,1952.112408122024,SL,-1.0,0.05850853719876434,-1.0585085371987644,-1.4627134299691085,0.5625820884496571,2,C,1.9166666666666667,False,0.7916666666666666,0.32608695652173914,1908.0,1803.884467380973,False,72.78804058109614,8.887591877976122,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,30403,2023-04-11 18:00:00,30404,2023-04-11 18:15:00,2021.0,2018.39023566602,2024.9146465009699,2.6097643339799106,2014.0,30404,2023-04-11 18:15:00,2018.39023566602,SL,-1.0,0.19925170760801839,-1.1992517076080185,-1.9158818039232537,0.0,1,C,1.7333333333333334,False,0.8666666666666667,0.46153846153846156,2004.0,1833.041027231971,False,52.715926062022845,2.609764333980005,IMPULSE_W5
B01_LONG_CORE,G_PROD,1,2.0,33988,2023-06-02 02:15:00,33989,2023-06-02 02:30:00,1982.0,1980.5668567237976,1984.1497149143036,1.4331432762023724,1978.0,33992,2023-06-02 03:15:00,1984.1497149143036,TP,1.5,0.3628388093742635,1.1371611906257364,0.0,2.0933008233130583,4,B,1.3571428571428572,True,0.5714285714285714,0.42105263157894735,1981.0,1886.0046602219504,True,59.426826248000026,1.4331432762022984,IMPULSE_W5
B01_LONG_CORE,G_PROD,1,2.0,33994,2023-06-02 03:45:00,33995,2023-06-02 04:00:00,1985.0,1983.7040096675462,1986.9439854986808,1.2959903324538118,1978.0,33995,2023-06-02 04:00:00,1983.7040096675462,SL,-1.0,0.401237560943405,-1.4012375609434051,-2.314832082365798,0.0,1,B,1.3571428571428572,True,0.5714285714285714,0.42105263157894735,1981.0,1886.0046602219504,True,64.54831693923636,1.2959903324537838,IMPULSE_W5
B01_LONG_CORE,G_PROD,1,2.0,35571,2023-06-26 14:00:00,35572,2023-06-26 14:15:00,1918.0,1915.892122556291,1921.1618161655633,2.107877443708958,1913.0,35572,2023-06-26 14:15:00,1915.892122556291,SL,-1.0,0.24669365932633333,-1.2466936593263334,-1.4232326499596153,0.0,1,B,1.3,True,0.5,0.38461538461538464,1908.0,1891.7885317382204,True,62.152832284317064,2.1078774437090493,IMPULSE_W5
B02_LONG_EMA200_FIBOFF,G_PROD,1,2.0,36318,2023-07-06 08:45:00,36319,2023-07-06 09:00:00,1899.0,1897.5702912997065,1901.1445630504404,1.4297087002935314,1896.0,36319,2023-07-06 09:00:00,1897.5702912997065,SL_FIRST,-1.0,0.3637104536702054,-1.3637104536702054,-1.3988863602700208,2.098329540405031,1,B,1.6,False,0.8,0.375,1893.0,1892.2616060291466,True,56.39800713136009,1.4297087002935813,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,41535,2023-09-20 17:00:00,41536,2023-09-20 17:15:00,1934.0,1932.0355818535295,1936.9466272197058,1.964418146470507,1928.0,41536,2023-09-20 17:15:00,1932.0355818535295,SL,-1.0,0.2647094260121197,-1.2647094260121197,-1.5271697654545366,0.0,1,C,3.0,False,0.8333333333333334,0.2777777777777778,1921.0,1901.9631723167224,False,75.98396222725059,1.9644181464705408,IMPULSE_W5
